sentence_id,Personne,sentence
1220587,Personne responsable et autonome,"Il importe donc de tenir compte de toutes les modifications du comportement 
d’une personne quand on veut évaluer les processus dits «  internes  » liés au sentiment de soi 91."
1291195,Personne responsable et autonome,"Le principe fondamental d’une garantie humaine du numérique en santé 
gagnerait à être inscrit au niveau législatif."
1360306,Personne responsable et autonome,"Ces personnes donnent un consentement qui relève davantage 
d’un acc ord ou d’un assentiment « par défaut  »."
580205,Personne responsable et autonome,"Sur le plan éthique, cette évolution peut être comprise, schématiquement, comme passage
d'une éthique médicale de style téléologique, mettant au premier plan le principe de
bienfaisance, vers une éthique médicale de style déontologique, mettant au premier plan le
principe du respect des personnes, tenues pour des sujets moraux autonomes."
700014,Personne responsable et autonome,"C'est dans ce cadre que peut se
poser la question du consentement d'une personne à une intervention sur elle, demandée
dans l'intérêt d'une autre."
1290902,Personne à protéger,"Bien qu’il soit parfois complexe à expliquer aux familles, le 
CCNE considère cependant que le système actuel du consentement présumé 
constitue un compromis équilibré entre la nécessité absolue du respect du 
consentement des personnes au don et celle de proposer aux patients en attente de 
greffe une solution thérapeutique qui évitera de nombreux décès et se traduira 
généralement par une amélioration sensible de leur santé et de leurs conditions de 
vie."
870085,Personne à protéger,"Si le sujet est majeur, 
son refus de transfusion pose un cas de conscience insoluble au médecin : d’un côté la 
réglementation en vigueur ne s’accommode guère d’une intervention thérapeutique sans le 
consentement de l’intéressé ; de l’autre, sa responsabilité professionnelle et en particulier son 
obligation légale d’assistance à personne en danger lui impose de transfuser."
280036,Individu ou sujet,"Il
appartient à la Justice de faire sur ce douloureux problème toute la lumière à laquelle ont
droit de prétendre, en même temps que réparations, des personnes et des familles
terriblement meurtries."
710245,Personne responsable et autonome,"- une fois l'avis scientifique et technique de l'instance précédente établi, ce même
comité, élargi à des personnalités compétentes pour les problèmes d'éthique en un
souscomité décisionnel comportant des personnes de haute autorité représentant la
société civile serait chargé d'examiner les modalités du recueil du consentement **."
1360726,Personne à protéger,"- Lorsque le traitement est nécessaire à la sauvegarde des int érêts vitaux de 
la personne concernée ou d'une autre personne physique, dans le cas où la personne concernée se trouve dans l'incapacité physique ou juridique de donner son 
consentement;  
- Lorsque le traitement est nécessaire pour des motifs d'intérêt public  dans le 
domaine de la santé publique."
580057,Personne à protéger,"Préambule
Le rapport qui suit distingue deux positions éthiques: l'une (dite ""téléologique"") fondée sur
le principe de bienfaisance (ou de nonmalfaisance), l'autre (dite ""déontologique""), fondée
sur le principe du respect des personnes dans leur autonomie."
790062,Personne responsable et autonome,"Il apparaît
ainsi rétrospectivement que la notion de BID a pu être un moyen pour certains investigateurs de
se soustraire à la règle du consentement préalable de manière à ne pas écarter du domaine de la
recherche des personnes pour lesquelles on souhaitait augmenter la connaissance scientifique de
leur pathologie."
1250079,Genre/espèce humaine,"Pour le CCNE, la démarche éthique en sciences de la  vie et de la santé se doit de porter dans 
le débat public les questionnements sur les causes de la pérennité de la pauvreté et de la faim 
dans le monde, sur l’accroissement de la paupérisat ion relative dans les différentes 
collectivités humaines en rapport avec les atteinte s à la biodiversité et avec la démographie."
870299,Personne à protéger,"Le consentement à l’acte médical se rattache au principe du respect de l’intégrité du corps 
humain, au nom de la dignité de la personne humaine."
1360287,Personne responsable et autonome,"Contrairement à ce que l’on peut observer dans d’autres pays, il n’existe pas aujourd’hui en France de consensus sur les méthodes qui permettraie nt d’évaluer 
rigoureusement les capacités de discernement, ou la capacité d’une personne à 
donner un consentement en matière de santé 52."
1440271,Individu ou sujet,"La doctrine solidariste, qui accompagne l’apparition de not re modèle 
républicain, propose un socle théorique légitimant l’intervention de l’Etat comme expression de la volonté générale tout en respectant la liberté individuelle de chacun 
autour de l’idée que « l’homme naît débiteur de l’association humaine  », selo n cet auteur."
450032,Genre/espèce humaine,"Mais les mutations
que connaît aussi le monde de la presse, à l'heure de la communication universelle et de la
rentabilité financière, ont de puissants effets, particulièrement dans le secteur audiovisuel :
obsession du taux d'audience, quête incessante du scoop, prédilection pour le sensationnel
et l'émotionnel, où sont maintes fois mises à mal la fiabilité et la loyauté de l'information
scientifique par les modes de sa présentation, les façons de titrer, voire la désinvolture à
l'égard des personnes et des faits."
1390049,Personne à protéger,"139 
  
8 
 En regard de toutes ces évolutions intervenues depuis son dernier avis de 2013, et conformément au souhait du Président Jean -François Delfraissy exprimé dans une lettre de 
mission adressée  aux rapporteurs le 21 mai 2021 , le CCNE a décidé, par une auto -
saisine en juin 2021, d’approfondir certains enjeux éthiques du débat, relatifs aux :  
 
- Modalités d’amélioration de la mise en œuvre des dispositions législatives et 
réglementaires existantes  ; 
- Modalités de prise en charge des situations complexes de personnes dont le 
pronostic vital n’est pas engagé «  à court terme  », néanmoins confrontées au 
caractère inéluctable de la mort prochaine, soit du fait d’une maladie grave,  
évolutive et incurable, soit du fait d’une décision d’arrêt de traitements de soutien vitaux."
1250431,Genre/espèce humaine,"Quel que soit l’éventail des modèles culturels 
élaborés en matière de relations entre l’humain et la 
nature, les représentations sociales de la diversit é 
du vivant et de la place de l’humanité dans cette 
diversité mettent en tension des aspects biologique s 
et culturels de l’humain, notamment dans ses 
postures de maîtrise du vivant, y compris pour sa 
propre santé."
770722,Corps humain,"Le principe de la noncommercialisation du corps humain, en vigueur dans
de nombreux pays et que reconnaissent la France et l’Allemagne interdit
pour des raisons qui dépassent largement le problème des biobanques, de
mettre des éléments de son corps à la disposition d’autrui contre
rémunération."
930350,Corps humain,"Dans la mesure où le matériel biologique brut est d onné par une personne et peut faire 
l’objet d’une utilisation indifférenciée, la questi on du consentement de la personne source à 
l’utilisation de ce qui vient de son propre corps e t à l’exploitation commerciale dont un 
produit de son corps serait éventuellement l’objet,  se pose de façon aiguë."
