id_membre;nom;sexe;profession;spécialité;naissance;NOM_PRENOM
20;Carole Widmaier;F;chercheur;philosophie;1975;WIDMAIER_CAROLE
13;Sylvie-Anne Goldberg;F;chercheur;judaïsme;;GOLDBERG_SYLVIE-ANNE
39;Valérie Masson-Delmotte;H;chercheur;physique;1971;MASSON-DELMOTTE_VALERIE
48;Didier Martin;H;"politicien;médecin";neurologie;1956;MARTIN_DIDIER
60;François Stasse;H;magistrat;"";1948;STASSE_FRANCOIS
66;Anne Caron-Déglise;F;magistrat;"";1959;CARON-DEGLISE_ANNE
91;Angèle Consoli;F;médecin;psychiatrie;1972;CONSOLI_ANGELE
126;Séverine Laboué;F;haut fonctionnaire;"";1981;LABOUE_SEVERINE
134;Rachel Bocher;F;médecin;psychiatrie;;BOCHER_RACHEL
142;Ariane Giacobino;F;médecin;génétique;;GIACOBINO_ARIANE
148;Laurent Chambaud;H;médecin;santé publique;;CHAMBAUD_LAURENT
182;François-Xavier Maquart;H;biologiste;"";1952;MAQUART_FRANCOIS-XAVIER
189;Lluís Quintana-Murci;H;biologiste;génétique;1970;QUINTANA-MURCI_LLUIS
208;Jean-Antoine Girault;H;médecin;neurologie;1955;GIRAULT_JEAN-ANTOINE
261;Didier Dreyfuss;H;médecin;réanimation;;DREYFUSS_DIDIER
276;Michel Badré;H;haut fonctionnaire;environnement;1948;BADRE_MICHEL
277;Didier Fassin;H;chercheur;sociologie;1955;FASSIN_DIDIER
278;Yvanie Caillé;F;"ingénieur;militant";"";1974;CAILLE_YVANIE
279;Noémie Nauleau;F;"référent handicap;militant";"";1985;NAULEAU_NOEMIE
280;Jean-Louis Haurié;H;militant;"";;HAURIE_JEAN-LOUIS
281;Sylviane Giampino;F;"psychologue;militant";"";;GIAMPINO_SYLVIANE
282;Cécile Duflot;F;politicien;écologie;;DUFLOT_CECILE
65;Françoise Kamara;F;magistrat;"";1952;KAMARA_FRANCOISE
74;Annabel Desgrées du Loû;F;chercheur;démographie;1968;DESGREES@DU@LOU_ANNABEL
104;Alain Claeys;H;politicien;"";1948;CLAEYS_ALAIN
112;Gilles Bœuf;H;biologiste;biologie marine;1950;BOUF_GILLES
118;Jean-Emmanuel Ray;H;chercheur;droit;1952;RAY_JEAN-EMMANUEL
156;Karine Lefeuvre;F;chercheur;droit;1971;LEFEUVRE_KARINE
162;Fabrice Gzil;H;chercheur;philosophie;1974;GZIL_FABRICE
188;Alain Prochianz;H;biologiste;neurologie;1948;PROCHIANZ_ALAIN
202;Arnold Munnich;H;médecin;"génétique;pédiatrie";1949;MUNNICH_ARNOLD
260;Michèle Cottier;F;médecin;"";1957;COTTIER_MICHELE
243;Emmanuel Didier;H;chercheur;sociologie;1970;DIDIER_EMMANUEL
259;Anne Pellé;F;chercheur;physiologie;;PELLE_ANNE
6;Jean-François Delfraissy;H;médecin;"infectiologie;immunologie";1948;DELFRAISSY_JEAN-FRANCOIS
12;Cynthia Fleury;F;chercheur;philosophie;1974;FLEURY_CYNTHIA
19;Marion Muller-Colard;F;théologien;protestantisme;1978;MULLER-COLARD_MARION
47;Marc Delatte;H;"politicien;médecin";généraliste;1961;DELATTE_MARC
55;Corinne Imbert;F;"politicien;pharmacien";"";1958;IMBERT_CORINNE
59;Caroline Martin;F;magistrat;"";1955;MARTIN_CAROLINE
73;Claire Hédon;F;journaliste;"";1962;HEDON_CLAIRE
80;Karine Lefeuvre;F;professeur d'université;droit;1971;LEFEUVRE_KARINE
86;Alexandra Benachi;F;médecin;gynécologie;;BENACHI_ALEXANDRA
