"num","nb_mots","nb_phrases","nb_pages"
1,4010,129,9
2,17595,690,32
3,10220,367,16
4,4812,123,10
5,5844,219,14
6,4061,172,7
7,5182,203,10
8,27814,890,46
9,1211,51,3
10,3627,171,9
11,1955,52,6
12,2648,116,6
13,6054,233,11
14,22716,668,39
15,3120,113,6
16,3764,111,7
17,1517,43,4
18,4177,142,8
19,2373,76,5
20,1047,29,2
21,1260,45,2
22,1567,43,4
23,523,19,2
24,3540,148,9
25,4115,139,9
26,495,18,2
27,4355,132,9
28,5729,225,11
29,1102,43,3
30,871,36,2
31,1674,54,3
32,5721,231,10
33,2980,102,7
34,2848,94,6
35,2174,60,4
36,2079,64,5
37,2267,69,5
38,9059,352,17
39,2779,106,6
40,3535,107,6
41,2054,77,5
42,9504,352,18
43,27258,1267,66
44,4093,114,7
45,24401,785,36
46,24060,851,44
47,6127,222,12
48,2679,97,5
49,11426,462,19
50,13444,449,21
51,3932,179,8
52,964,30,2
53,7451,259,15
54,17544,697,28
55,1074,37,3
56,5085,154,10
57,28320,940,49
58,18108,826,33
59,11667,433,25
60,14208,523,31
61,5906,269,11
62,2291,74,4
63,11302,421,18
64,4316,132,7
65,11465,370,19
66,2163,71,4
67,12358,385,27
68,6153,190,9
69,2738,72,5
70,7312,243,10
71,10275,358,18
72,10532,392,18
73,4529,156,16
74,6857,232,19
75,6358,232,11
76,4541,137,13
77,22196,730,51
78,12548,395,25
79,11507,396,19
80,2896,73,10
81,10282,395,24
82,11675,464,20
83,10375,426,21
84,13863,466,32
85,2224,70,9
86,5968,193,15
87,17173,625,39
88,3306,99,7
89,4839,149,10
90,17607,566,27
91,9034,281,25
92,3856,131,9
93,22028,703,40
94,25934,835,48
95,4897,129,13
96,7274,244,19
97,10540,279,23
98,9249,239,28
99,3656,102,8
100,744,22,3
101,11865,322,33
102,13129,421,30
103,12391,409,23
104,7476,224,16
105,7031,218,12
106,11150,372,21
107,14877,520,28
108,6439,222,14
109,9683,281,17
110,8369,221,18
111,5519,215,15
112,32033,894,59
113,10270,280,17
114,11731,371,28
115,10029,338,18
116,11230,287,19
117,16717,448,29
118,8258,249,15
119,13659,444,31
120,24071,753,50
121,37891,1083,79
122,19128,693,29
123,23381,649,54
124,40501,1225,84
125,19850,589,33
126,46557,1575,78
127,15114,410,26
128,38861,1489,68
129,64441,1877,165
130,44296,1373,94
131,15289,513,48
132,12253,435,38
133,16450,565,46
134,9623,271,34
135,18467,557,46
136,22950,749,51
137,17254,504,40
138,16791,565,42
139,25909,845,63
140,22034,597,54
141,26784,799,58
142,13524,393,38
143,37152,1063,73
144,21180,537,54
